product,country,market_year,metric,value
大豆,委内瑞拉,2000/01,imports,0.185
大豆,乌克兰,2000/01,imports,0.01
大豆,乌拉圭,2000/01,imports,0
大豆,伊朗,2000/01,imports,0.596
大豆,印度,2000/01,imports,0
大豆,印度尼西亚,2000/01,imports,1.127
大豆,越南,2000/01,imports,0.032
大豆,智利,2000/01,imports,0.101
大豆,中国,2000/01,imports,13.245
大豆,中国台湾,2000/01,imports,2.33
大豆,Australia,2000/01,imports,0
大豆,Barbados,2000/01,imports,0.019
大豆,Bosnia and Herzegovina,2000/01,imports,0
大豆,Burma,2000/01,imports,0
大豆,Costa Rica,2000/01,imports,0.214
大豆,Cuba,2000/01,imports,0.018
大豆,Ecuador,2000/01,imports,0
大豆,Guatemala,2000/01,imports,0.013
大豆,Israel,2000/01,imports,0.6
大豆,"Korea, North",2000/01,imports,0.002
大豆,Nicaragua,2000/01,imports,0.001
大豆,Nigeria,2000/01,imports,0.008
大豆,Norway,2000/01,imports,0.389
大豆,Panama,2000/01,imports,0.002
大豆,Serbia and Montenegro,2000/01,imports,0.005
大豆,Singapore,2000/01,imports,0.024
大豆,Switzerland,2000/01,imports,0.062
大豆,Syria,2000/01,imports,0.171
大豆,Trinidad and Tobago,2000/01,imports,0.085
大豆,Uganda,2000/01,imports,0
大豆,Uzbekistan,2000/01,imports,0.054
大豆,Zambia,2000/01,imports,0
大豆,Zimbabwe,2000/01,imports,0.004
大豆,阿根廷,2000/01,production,27.8
大豆,埃及,2000/01,production,0.012
大豆,巴基斯坦,2000/01,production,0.001
大豆,巴拉圭,2000/01,production,3.502
大豆,巴西,2000/01,production,39.5
大豆,玻利维亚,2000/01,production,1.148
大豆,俄罗斯,2000/01,production,0.317
大豆,菲律宾,2000/01,production,0.001
大豆,哥伦比亚,2000/01,production,0.062
大豆,韩国,2000/01,production,0.113
大豆,加拿大,2000/01,production,2.703
大豆,马来西亚,2000/01,production,0
大豆,美国,2000/01,production,75.055
大豆,秘鲁,2000/01,production,0.003
大豆,摩洛哥,2000/01,production,0.001
大豆,墨西哥,2000/01,production,0.103
大豆,南非,2000/01,production,0.21
大豆,欧盟,2000/01,production,1.323
大豆,日本,2000/01,production,0.235
大豆,泰国,2000/01,production,0.312
大豆,土耳其,2000/01,production,0.04
大豆,委内瑞拉,2000/01,production,0.007
大豆,乌克兰,2000/01,production,0.064
大豆,乌拉圭,2000/01,production,0.028
大豆,伊朗,2000/01,production,0.142
大豆,印度,2000/01,production,5.25
大豆,印度尼西亚,2000/01,production,1.02
大豆,越南,2000/01,production,0.149
大豆,智利,2000/01,production,0
大豆,中国,2000/01,production,15.409
大豆,中国台湾,2000/01,production,0
大豆,Australia,2000/01,production,0.049
大豆,Barbados,2000/01,production,0
大豆,Bosnia and Herzegovina,2000/01,production,0.004
大豆,Burma,2000/01,production,0.099
大豆,Costa Rica,2000/01,production,0
大豆,Cuba,2000/01,production,0
大豆,Ecuador,2000/01,production,0.104
大豆,Guatemala,2000/01,production,0.03
大豆,Israel,2000/01,production,0
大豆,"Korea, North",2000/01,production,0.123
大豆,Nicaragua,2000/01,production,0.006
大豆,Nigeria,2000/01,production,0.429
大豆,Norway,2000/01,production,0
大豆,Panama,2000/01,production,0
大豆,Serbia and Montenegro,2000/01,production,0.15
大豆,Singapore,2000/01,production,0
大豆,Switzerland,2000/01,production,0.004
大豆,Syria,2000/01,production,0.004
大豆,Trinidad and Tobago,2000/01,production,0
大豆,Uganda,2000/01,production,0.12
大豆,Uzbekistan,2000/01,production,0
大豆,Zambia,2000/01,production,0.002
大豆,Zimbabwe,2000/01,production,0.141
大豆,阿根廷,2001/02,consumption,21.999
大豆,埃及,2001/02,consumption,0.461
大豆,巴基斯坦,2001/02,consumption,0.302
大豆,巴拉圭,2001/02,consumption,1.346
大豆,巴西,2001/02,consumption,26.593
大豆,玻利维亚,2001/02,consumption,1.213
大豆,俄罗斯,2001/02,consumption,0.385
大豆,菲律宾,2001/02,consumption,0.362
大豆,哥伦比亚,2001/02,consumption,0.61
大豆,韩国,2001/02,consumption,1.555
大豆,加拿大,2001/02,consumption,2.197
大豆,马来西亚,2001/02,consumption,0.685
大豆,美国,2001/02,consumption,50.867
大豆,孟加拉国,2001/02,consumption,0.01
大豆,秘鲁,2001/02,consumption,0.076
大豆,摩洛哥,2001/02,consumption,0.242
大豆,墨西哥,2001/02,consumption,4.595
大豆,南非,2001/02,consumption,0.204
大豆,欧盟,2001/02,consumption,20.094
大豆,日本,2001/02,consumption,5.213
大豆,泰国,2001/02,consumption,1.793
大豆,土耳其,2001/02,consumption,0.603
大豆,委内瑞拉,2001/02,consumption,0.084
大豆,乌克兰,2001/02,consumption,0.086
大豆,乌拉圭,2001/02,consumption,0.019
大豆,伊朗,2001/02,consumption,0.53
大豆,印度,2001/02,consumption,5.032
大豆,印度尼西亚,2001/02,consumption,2.281
大豆,越南,2001/02,consumption,0.197
大豆,智利,2001/02,consumption,0.145
大豆,中国,2001/02,consumption,28.31
大豆,中国台湾,2001/02,consumption,2.432
大豆,Australia,2001/02,consumption,0.068
大豆,Barbados,2001/02,consumption,0.017
大豆,Bosnia and Herzegovina,2001/02,consumption,0.005
大豆,Burma,2001/02,consumption,0.109
大豆,Costa Rica,2001/02,consumption,0.253
大豆,Cuba,2001/02,consumption,0.1
大豆,Ecuador,2001/02,consumption,0.015
大豆,Guatemala,2001/02,consumption,0.04
大豆,Israel,2001/02,consumption,0.671
大豆,"Korea, North",2001/02,consumption,0.178
大豆,Nicaragua,2001/02,consumption,0.006
大豆,Nigeria,2001/02,consumption,0.444
大豆,Norway,2001/02,consumption,0.397
大豆,Panama,2001/02,consumption,0
大豆,Serbia and Montenegro,2001/02,consumption,0.23
大豆,Singapore,2001/02,consumption,0.019
大豆,Switzerland,2001/02,consumption,0.061
大豆,Syria,2001/02,consumption,0.138
大豆,Trinidad and Tobago,2001/02,consumption,0.097
大豆,Uganda,2001/02,consumption,0.128
大豆,United Arab Emirates,2001/02,consumption,0
大豆,Uzbekistan,2001/02,consumption,0.065
大豆,Zambia,2001/02,consumption,0.025
大豆,Zimbabwe,2001/02,consumption,0.069
大豆,阿根廷,2001/02,exports,5.96
大豆,埃及,2001/02,exports,0
大豆,巴基斯坦,2001/02,exports,0
大豆,巴拉圭,2001/02,exports,2.116
大豆,巴西,2001/02,exports,14.504
大豆,玻利维亚,2001/02,exports,0.155
大豆,俄罗斯,2001/02,exports,0
大豆,菲律宾,2001/02,exports,0
大豆,哥伦比亚,2001/02,exports,0
大豆,韩国,2001/02,exports,0
大豆,加拿大,2001/02,exports,0.502
大豆,马来西亚,2001/02,exports,0.03
大豆,美国,2001/02,exports,28.948
大豆,孟加拉国,2001/02,exports,0
大豆,秘鲁,2001/02,exports,0
大豆,摩洛哥,2001/02,exports,0
大豆,墨西哥,2001/02,exports,0
大豆,南非,2001/02,exports,0.005
大豆,欧盟,2001/02,exports,0.041
大豆,日本,2001/02,exports,0
大豆,泰国,2001/02,exports,0.001
大豆,土耳其,2001/02,exports,0
大豆,委内瑞拉,2001/02,exports,0.001
大豆,乌克兰,2001/02,exports,0.001
大豆,乌拉圭,2001/02,exports,0.062
大豆,伊朗,2001/02,exports,0
大豆,印度,2001/02,exports,0.001
大豆,印度尼西亚,2001/02,exports,0
大豆,越南,2001/02,exports,0.004
大豆,智利,2001/02,exports,0
大豆,中国,2001/02,exports,0.3
大豆,中国台湾,2001/02,exports,0
大豆,Australia,2001/02,exports,0.006
大豆,Barbados,2001/02,exports,0
大豆,Bosnia and Herzegovina,2001/02,exports,0
大豆,Burma,2001/02,exports,0
大豆,Costa Rica,2001/02,exports,0
大豆,Cuba,2001/02,exports,0
大豆,Ecuador,2001/02,exports,0.064
大豆,Guatemala,2001/02,exports,0.001
大豆,Israel,2001/02,exports,0
大豆,"Korea, North",2001/02,exports,0
大豆,Nicaragua,2001/02,exports,0
大豆,Nigeria,2001/02,exports,0
大豆,Norway,2001/02,exports,0
大豆,Panama,2001/02,exports,0.002
大豆,Serbia and Montenegro,2001/02,exports,0.01
大豆,Singapore,2001/02,exports,0.002
大豆,Switzerland,2001/02,exports,0
大豆,Syria,2001/02,exports,0
大豆,Trinidad and Tobago,2001/02,exports,0
大豆,Uganda,2001/02,exports,0.016
大豆,United Arab Emirates,2001/02,exports,0.001
大豆,Uzbekistan,2001/02,exports,0
大豆,Zambia,2001/02,exports,0.003
大豆,Zimbabwe,2001/02,exports,0.009
大豆,阿根廷,2001/02,imports,0.251
大豆,埃及,2001/02,imports,0.446
大豆,巴基斯坦,2001/02,imports,0.301
大豆,巴拉圭,2001/02,imports,0.008
大豆,巴西,2001/02,imports,1.112
大豆,玻利维亚,2001/02,imports,0.246
大豆,俄罗斯,2001/02,imports,0.064
大豆,菲律宾,2001/02,imports,0.347
大豆,哥伦比亚,2001/02,imports,0.559
大豆,韩国,2001/02,imports,1.434
大豆,加拿大,2001/02,imports,0.982
大豆,马来西亚,2001/02,imports,0.725
大豆,美国,2001/02,imports,0.063
大豆,孟加拉国,2001/02,imports,0.01
大豆,秘鲁,2001/02,imports,0.074
大豆,摩洛哥,2001/02,imports,0.241
大豆,墨西哥,2001/02,imports,4.51
大豆,南非,2001/02,imports,0.027
大豆,欧盟,2001/02,imports,18.783
大豆,日本,2001/02,imports,5.023
大豆,泰国,2001/02,imports,1.55
大豆,土耳其,2001/02,imports,0.541
大豆,委内瑞拉,2001/02,imports,0.069
大豆,乌克兰,2001/02,imports,0.013
大豆,乌拉圭,2001/02,imports,0
大豆,伊朗,2001/02,imports,0.4
大豆,印度,2001/02,imports,0
大豆,印度尼西亚,2001/02,imports,1.414
大豆,越南,2001/02,imports,0.027
大豆,智利,2001/02,imports,0.145
大豆,中国,2001/02,imports,10.385
大豆,中国台湾,2001/02,imports,2.578
大豆,Australia,2001/02,imports,0.018
大豆,Barbados,2001/02,imports,0.017
大豆,Bosnia and Herzegovina,2001/02,imports,0.001
大豆,Burma,2001/02,imports,0
大豆,Costa Rica,2001/02,imports,0.253
大豆,Cuba,2001/02,imports,0.104
大豆,Ecuador,2001/02,imports,0.012
大豆,Guatemala,2001/02,imports,0.005
大豆,Israel,2001/02,imports,0.735
大豆,"Korea, North",2001/02,imports,0.09
大豆,Nicaragua,2001/02,imports,0.002
大豆,Nigeria,2001/02,imports,0.008
大豆,Norway,2001/02,imports,0.407
大豆,Panama,2001/02,imports,0.002
